Selected,Order ID,ship-city,index,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by,Day,Month,Year
No,402-1465437-0579556,Jeypur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,0.0728844 - 0.101365,Odisha,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,402-2764952-1492318,Lucknow,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Uttar pradesh,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-7398201-3869914,Mumbai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,0.0728844 - 0.101365,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,171-9208368-0157156,Kewalpur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,< 0.0728844,Uttar pradesh,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,171-2592464-6846743,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-9966506-3155561,Chennai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Tamil nadu,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-2189901-7515567,Bangalore,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,< 0.125,INR,0.101365 - 0.129481,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-1326801-8886709,Berhampur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,< 0.0728844,Odisha,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-6599093-6553153,Kolkata,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Bottom,3XL,Shipped,< 0.125,INR,< 0.0728844,West bengal,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,403-1162895-2484367,Jaipur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XXL,Shipped,< 0.125,INR,≥ 0.150045,Rajasthan,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-1879750-2639521,Chennai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,0.129481 - 0.150045,Tamil nadu,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-7698765-2294756,Ambarnath,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XXL,Shipped,< 0.125,INR,≥ 0.150045,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,404-1856281-9996319,Gwalior,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,S,Shipped,< 0.125,INR,0.0728844 - 0.101365,Madhya pradesh,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-5257740-5301158,Rohtak,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,< 0.125,INR,≥ 0.150045,Haryana,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-5257740-5301158,Rohtak,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,< 0.0728844,Haryana,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,403-7266170-1163500,Mumbai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,M,Shipped,< 0.125,INR,0.0728844 - 0.101365,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-8961316-8137943,"Guwahati, kamrup (m)",< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,< 0.125,INR,0.101365 - 0.129481,Assam,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-8961316-8137943,"Guwahati, kamrup (m)",< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,< 0.125,INR,0.0728844 - 0.101365,Assam,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-4908072-0260360,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-1482435-5202714,Chirmiri,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Chhattisgarh,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,171-0131752-2560336,Barabanki,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,≥ 0.150045,Uttar pradesh,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-4235449-1353916,Amila,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,< 0.125,INR,≥ 0.150045,Uttar pradesh,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,404-6513062-3876305,Tiruchirappalli,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,< 0.0728844,Tamil nadu,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-9863928-5979501,Paravur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,< 0.0728844,Kerala,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,171-4644162-9093116,Basti,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,S,Shipped,< 0.125,INR,< 0.0728844,Uttar pradesh,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-0542879-1795554,Mahendragarh,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,S,Shipped,< 0.125,INR,< 0.0728844,Haryana,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-2660443-4165145,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,< 0.0728844,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-4097885-3129958,Vasai virar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,L,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-0732969-3941948,New town,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,< 0.125,INR,0.101365 - 0.129481,West bengal,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,404-6680046-0839536,Chennai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Tamil nadu,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-7173744-5333154,New delhi,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,S,Shipped,< 0.125,INR,0.0728844 - 0.101365,Delhi,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-4547464-4180323,Bhubaneswar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,< 0.0728844,Odisha,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,171-4350114-4299568,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,XS,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-4737202-9096304,Gaya,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Bihar,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-2403215-8361103,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,< 0.125,INR,≥ 0.150045,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,404-6578109-5618751,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,< 0.0728844,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,403-5977671-8855508,Cooch behar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Set,XS,Shipped,< 0.125,INR,≥ 0.150045,West bengal,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,404-0696150-3898703,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,< 0.125,INR,0.0728844 - 0.101365,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-7586136-6520337,Dehradun,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Uttarakhand,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-9144614-1601126,Secunderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,171-4607096-6413920,Nagpur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,404-6975277-1927553,Berhampore,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,0.0728844 - 0.101365,West bengal,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,171-1584788-8864335,Mumbai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XXL,Shipped,< 0.125,INR,≥ 0.150045,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-4101226-7217932,Lucknow,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,0.0728844 - 0.101365,Uttar pradesh,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,402-4774686-7773937,Hyderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,XL,Shipped,< 0.125,INR,< 0.0728844,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-6386989-1689108,Baruipur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,< 0.125,INR,≥ 0.150045,West bengal,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-6428766-2839536,Kendrapara,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Odisha,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-6586654-6641140,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-2882576-2777135,Hyderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,≥ 0.150045,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,403-2256919-4846738,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,3XL,Shipped,< 0.125,INR,≥ 0.150045,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,402-4646784-8411501,Chandi mandir,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Haryana,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-2788163-4515521,Ujjain,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,< 0.0728844,Madhya pradesh,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,402-5302912-6805151,Hyderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-5540360-9479519,Shillong,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Meghalaya,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-8580022-5578715,Gurugram,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Haryana,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-7712483-3825907,Allahabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,L,Shipped,< 0.125,INR,0.0728844 - 0.101365,Uttar pradesh,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,402-3660716-8589107,Trivandrum,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Kerala,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-9941718-1734719,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-5020509-5674715,New delhi,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,< 0.125,INR,< 0.0728844,Delhi,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,407-7642883-3094732,Sibsagar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,L,Shipped,< 0.125,INR,≥ 0.150045,Assam,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-9442254-2207515,Pathanapuram,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,6XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Kerala,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-4970885-3273941,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-2942566-8263534,Mahbubnagar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,S,Shipped,< 0.125,INR,< 0.0728844,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-7501816-7391539,Nk sweets vikasnagar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,S,Shipped,< 0.125,INR,0.0728844 - 0.101365,Uttarakhand,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-7971979-8745937,Ludhiana,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XS,Shipped,< 0.125,INR,< 0.0728844,Punjab,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-3702147-1800341,Hyderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XS,Shipped,< 0.125,INR,0.129481 - 0.150045,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
